Card Survival: Fantasy Forest,Early Access  Simulation  Open World Survival Craft  Survival,0,608
Haydee 3,Metroidvania  Third-Person Shooter  3D Platformer  Third Person,0,145
Legends of Heropolis DX,Casual  Simulation  Colony Sim  City Builder,0,91
Star Crafter,Early Access  Open World Survival Craft  Crafting  Base Building,0,976
Carmen Sandiego,Investigation  Strategy  Singleplayer  Detective,0,642
HENPRI,Dark Humor  Casual  Visual Novel  Anime,0,862
Songs of Life,Cute  Tabletop  Cartoon  Cartoony,0,965
Merchants of Rosewall,Shop Keeper  Fantasy  Simulation  Crafting,0,83
Knights in Tight Spaces,Card Battler  Turn-Based  Strategy  Fantasy,0,462
Everhood 2,Psychedelic  Music  Indie  Story Rich,0,903
Grimoire Groves,Roguelite  Dungeon Crawler  Cozy  Action Roguelike,0,768
Shadowveil: Legend of The Five Rings,Adventure  Strategy  Roguelite  Roguelike,0,843
Two Point Museum,Casual  Simulation  Strategy  Building,119,910
Seekers of Skyveil,Extraction Shooter  MOBA  Twin Stick Shooter  Early Access,0,378
The Bibites: Digital Life,Early Access  Simulation  Artificial Intelligence  Sandbox,0,205
AIR,Adventure  Casual  Simulation  Visual Novel,0,603
The Outlast Trials,Horror  Multiplayer  Co-op  Survival Horror,59,479
Noita,Physics  Pixel Graphics  Roguelike  Difficult,29,454
The Lord of the Rings: Return to Moria™,Open World Survival Craft  Dwarf  Base Building  Survival,55,850
ARK: Survival Ascended,Early Access  Survival  Open World  Multiplayer,99,95
Balatro,Card Game  Roguelike Deckbuilder  Roguelike  Deckbuilding,47,452
Call of Duty®: Modern Warfare®,Action  Singleplayer  FPS  Multiplayer,110,989
DayZ,Survival  Open World  Online Co-Op  Zombies,99,526
Overcooked! 2,Multiplayer  Online Co-Op  Local Co-Op  Co-op,23,997
Batman: Arkham Collection,Action  Stealth  Open World  Adventure,0,213
Dead by Daylight,Horror  Multiplayer  Survival Horror  Online Co-Op,29,745
"Ranch Simulator: Build, Hunt, Farm",Simulation  Multiplayer  Online Co-Op  Open World,18,947
Total War: WARHAMMER III,Strategy  Turn-Based Strategy  Grand Strategy  RTS,99,298
Sonic Frontiers,Great Soundtrack  Open World  Adventure  3D Platformer,71,251
Call of Duty®: Black Ops III,Multiplayer  Zombies  FPS  Shooter,69,597
SONIC X SHADOW GENERATIONS,Action  3D Platformer  Fast-Paced  Platformer,149,527
Ultimate Chicken Horse,Multiplayer  Party  Funny  Platformer,19,486
Pax Dei,MMORPG  Sandbox  Medieval  RPG,72,909
